"X","x","lon","lat"
425,"Irvine, CA",-117.8265049,33.6845673
426,"Washington, D.C.",NA,NA
427,"Suffolk, England",0.9707801,52.1872472
428,"Bozeman, MT",-111.0429339,45.6769979
429,"Scottsdale, AZ",NA,NA
430,"Boalsburg, Pennsylvania, USA",-77.7924992,40.7756184
431,"Alabama, USA",-86.902298,32.3182314
432,"City of Dreams",NA,NA
433,"Brussels, Belgium",4.3517211,50.8503463
434,"Minnesota, USA",-94.6858998,46.729553
435,"20 Steve Biko Street, Pretoria",NA,NA
436,"Canada",-106.346771,56.130366
437,"Gent, België",3.7174243,51.0543422
438,"San Diego, CA",NA,NA
439,"Vilanova del Passerell",2.7753408,42.976935
440,"Madrid, España",NA,NA
441,"World",-77.0340315,38.9031004
442,"Chapel Hill, NC",-79.0558445,35.9131996
443,"CT, New England, Greater NY",-72.6239953,41.7203492
444,"North Vancouver, BC",-123.0724139,49.3199816
445,"Middletown, Connecticut",NA,NA
446,"California, USA",NA,NA
447,"New York, NY",-74.0059728,40.7127753
448,"Niagara, Ontario",NA,NA
449,"Indiana, USA",-86.1349019,40.2671941
450,"Seattle, WA",-122.3320708,47.6062095
451,"Brownsburg, IN",-86.3977735,39.8433769
452,"Eastbourne, Sussex, England",0.290472,50.768035
453,"Seattle, WA",-122.3320708,47.6062095
454,"Newark, Delaware",-75.7496572,39.6837226
455,"Guelph, Ontario",-80.2481666,43.5448048
456,"Brussels, Belgium",4.3517211,50.8503463
457,"Chicago",-87.6297982,41.8781136
458,"Amersfoort",5.3878266,52.1561113
459,"I’m gonna be just like everyone else with no hot tea!”",NA,NA
460,"Ottawa, Ontario, Canada",-75.6971931,45.4215296
461,"Connecticut River Valley",-71.9273024,43.2509279
462,"Somewhere under the rainbow ",-80.1448023,40.7866883
463,"日本",138.252924,36.204824
464,"Washington, D.C.",-77.0368707,38.9071923
465,"Toronto, ON",-79.3831843,43.653226
466,"Houston, Texas",-95.3698028,29.7604267
467,"American IT Infrastructure Supporting Internet Web Hosting, Domain Registration. 24/7 US based Customer Support",NA,NA
468,"Harrisburg, PA",-76.8867008,40.2731911
469,"Puerto Vallarta Jal Mexico",NA,NA
470,"Nottingham uk",-1.1581086,52.9547832
471,"West Central Florida",-82.1338961,29.2016499
472,"Charleston, WV",-81.6326234,38.3498195
473,"Dubai, United Arab Emirates",55.2707828,25.2048493
474,"Global network",-76.8449341,39.1674643
475,"Bronx, New York ",-73.8648268,40.8447819
476,"Pittsburgh, PA",NA,NA
477,"Cambridge, MA",-71.1097335,42.3736158
478,"Indiana",-86.1349019,40.2671941
479,"Scottsdale, AZ",NA,NA
480,"Rotterdam",4.4777326,51.9244201
481,"Boston, MA",-71.0588801,42.3600825
482,"Wolverhampton, West Midlands",-2.12882,52.586973
483,"Lugano",8.951052,46.0036778
484,"We’re “evolved?”",-95.8002235,36.0687853
485,"Europe",NA,NA
486,"Worcester, Massachusetts",-71.8022934,42.2625932
487,"Notre Dame, IN",-86.2353388,41.7055716
488,"Netherlands",5.291266,52.132633
489,"London, UK",-0.1277583,51.5073509
490,"Chippewa Falls, WI, USA",-91.3929348,44.9369054
491,"Jewellery Quarter, Birmingham",NA,NA
492,"Durham, NC",NA,NA
493,"Parma, Emilia Romagna",10.3279036,44.801485
494,"the Netherlands",5.291266,52.132633
495,"Amsterdam, London, New York",NA,NA
496,"Edinburgh ",-3.188267,55.953252
497,"Benalmádena MÁLAGA",-4.5168056,36.5987966
498,"Brussels",4.3517211,50.8503463
499,"Monterrey, N.L., Mexico",-100.3161126,25.6866142
500,"Manhattan Beach, CA",-118.4109089,33.8847361
501,"London, UK",-0.1277583,51.5073509
502,"Brussels",4.3517211,50.8503463
503,"Utrecht, The Netherlands",5.1214201,52.0907374
504,"London",-0.1277583,51.5073509
505,"Rockville, MD",-77.1527578,39.0839973
506,"Germany / Europe",10.451526,51.165691
507,"Vienna, Austria",16.3738189,48.2081743
508,"Rockville, MD",-77.1527578,39.0839973
509,"Notre Dame, Indiana",NA,NA
510,"United States",-95.712891,37.09024
511,"State College, PA",-77.8600012,40.7933949
512,"Jakarta, Indonesia",106.8650395,-6.17511
513,"Connecticut",-73.087749,41.6032207
514,"Bruxelles / Bari ",16.765202,41.137508
515,"Florida, USA",-81.5157535,27.6648274
516,"Panama",-80.782127,8.537981
517,"Canton, OH",-81.378447,40.7989473
518,"Florida, USA",-81.5157535,27.6648274
519,"Sodak Roots. MN Livin' ",NA,NA
520,"Around the world",-80.765361,35.2775488
521,"Nairobi, Kenya",NA,NA
522,"Las Vegas, NV",-115.1398296,36.1699412
523,"London, England",-0.1277583,51.5073509
524,"Arusha, Tanzania",36.6829927,-3.3869254
525,"日本の何処か",138.252924,36.204824
526,"West Coast, US",-149.0729714,62.4113634
527,"Milton Keynes, United Kingdom ",NA,NA
528,"Chippewa land",-91.3963264,44.9406831
529,"Bishan, Singapore",106.227305,29.592024
530,"North Carolina, USA",NA,NA
531,"Athens | Göteborg",NA,NA
532,"Brandon, MS",-89.9859158,32.2732024
533,"United States",-95.712891,37.09024
534,"Simcoe County",-79.8296743,44.4716525
535,"Orillia",-79.4196783,44.6082465
536,"Timor-Leste",125.727539,-8.874217
537,"UK",NA,NA
538,"Boston area",-71.102018,42.365854
539,"Streetsboro, Ohio",-81.3459405,41.2392227
540,"AAARRGH",NA,NA
541,"NYC",-74.0059728,40.7127753
542,"New York",NA,NA
543,"Toronto, Canada",-79.3831843,43.653226
544,"Walnut Creek, CA",-122.0651819,37.9100783
545,"Dublin City, Ireland",-6.2603097,53.3498053
546,"Cranbury, NJ",-74.511172,40.3025907
547,"Pretoria, South Africa",28.2292712,-25.7478676
548,"Basilea, Suiza",7.5885761,47.5595986
549,"Scottsville, KY",NA,NA
550,"Colorado Springs",-104.8213634,38.8338816
551,"South East, England",-1.1743197,52.3555177
552,"Billeskov",9.950687,55.3477316
553,"Coolbellup, Perth (WA)",115.8078102,-32.0807296
554,"British Columbia, Canada",-127.6476205,53.7266683
555,"United States",-95.712891,37.09024
556,"Lyon, France",4.835659,45.764043
557,"Barrie, Ontario Canada",NA,NA
558,"Ilocos Region",NA,NA
559,"Orangeville/Caledon/Dufferin",NA,NA
560,"Denmark",9.501785,56.26392
561,"London, UK usually",-0.1927892,51.537142
562,"Montrose, Scotland",-2.466115,56.706922
563,"Athens Greece",23.7275388,37.9838096
564,"Dollard des Ormeaux, Québec,Ca",-73.8205567,45.4895636
565,"Canada",-106.346771,56.130366
566,"Sao Paulo",-46.6333094,-23.5505199
567,"Daytona Beach, Florida, USA",-81.0228331,29.2108147
568,"London",-0.1277583,51.5073509
569,"Somewhere tropical",NA,NA
570,"Newmarket",NA,NA
571," Australia",133.775136,-25.274398
572,"Washington, DC",-77.0368707,38.9071923
573,"Italy",12.56738,41.87194
574,"South West, England",-3.999461,50.7772135
575,"Nz exUK ",NA,NA
576,"West Tyrone",-84.5971524,33.4712253
577,"Johannesburg, South Africa",28.0473051,-26.2041028
578,"Norway most of the time",NA,NA
579,"London",-0.1277583,51.5073509
580,"EU",NA,NA
581,"Brussels",4.3517211,50.8503463
582,"Orlando, FL",-81.3792365,28.5383355
583,"Brussels, Belgium",4.3517211,50.8503463
584,"Lincolnshire",-0.1601246,52.9451889
585,"Hamburg",9.9936819,53.5510846
586,"Brussels",4.3517211,50.8503463
587,"Belfast, Northern Ireland",NA,NA
588,"Ontario, Canada",-85.323214,51.253775
589,"Diss, England",1.108394,52.376491
590,"NYC",NA,NA
591,"Cape Town, South Africa",18.4240553,-33.9248685
592,"London, England ",-0.1277583,51.5073509
593,"Colombia",-74.297333,4.570868
594,"Mumbai, Maharashtra, India",72.8776559,19.0759837
595,"Sintra, Portugal",-9.3816495,38.8029127
596,"Russia/Penza city",45,53.2272903
597,"Lac-Brome, Québec",NA,NA
598,"New Hampshire, USA",-71.5723953,43.1938516
599,"exo",-73.8464283,40.7206746
600,"ÜT: -6.584773,106.7987858",-111.8872095,40.9805865
601,"Santiago de Chile",-70.6692655,-33.4488897
